image_id,object_id,shadow_conf,enhancement_conf
malignant (101).png,0.0,0.6627819181309066,0.0
malignant (120).png,0.0,0.0,0.21513427416434494
malignant (105).png,0.0,0.2107492616181038,0.0
malignant (12).png,0.0,0.12075373234417552,0.0
malignant (122).png,0.0,0.0,0.06501102557410854
malignant (134).png,0.0,0.3932347715487996,0.0
malignant (130).png,0.0,0.0,0.39631491887613235
malignant (114).png,0.0,0.15657192387716046,0.0
malignant (112).png,0.0,0.301389857729236,0.0
malignant (119).png,0.0,0.0,0.0628629331025703
malignant (132).png,0.0,,
malignant (133).png,0.0,0.03112059356574126,0.0
malignant (108).png,,,
malignant (116).png,0.0,0.18696467824172425,0.0
malignant (116).png,1.0,0.30688976937507517,0.0
malignant (116).png,2.0,0.1852406373083032,0.0
malignant (113).png,0.0,0.130358921760918,0.0
malignant (107).png,0.0,0.0,0.41367847512269895
malignant (107).png,1.0,0.30068250626722826,0.0
malignant (131).png,0.0,0.0,0.7154150921257079
malignant (131).png,1.0,0.0,0.08126934342859671
malignant (115).png,0.0,0.16561429134246874,0.0
malignant (124).png,0.0,0.8092321625537476,0.0
malignant (110).png,0.0,0.11863243605034546,0.0
malignant (118).png,0.0,0.0,0.005881272571653495
malignant (125).png,0.0,0.3326941531812386,0.0
malignant (100).png,0.0,0.403065213213354,0.0
malignant (123).png,0.0,0.1569684867410478,0.0
malignant (13).png,0.0,0.0,0.024980354909134972
malignant (121).png,0.0,0.0,0.3211894038155889
malignant (127).png,0.0,0.004253060951157628,0.0
malignant (103).png,0.0,0.6913349624269249,0.0
malignant (109).png,0.0,0.0,0.01999006776314327
malignant (104).png,0.0,0.7504494556481787,0.0
malignant (128).png,0.0,0.40236276831949447,0.0
malignant (129).png,0.0,,
malignant (102).png,0.0,0.17634501594590735,0.0
malignant (117).png,0.0,0.0,0.021787652334855023
malignant (111).png,0.0,0.0,0.3804883716539653
malignant (126).png,0.0,0.0,0.005183282225611041
malignant (106).png,0.0,0.0,1.0
malignant (106).png,1.0,0.0,0.1175812115297672
malignant (142).png,0.0,0.7024720636207268,0.0
malignant (142).png,1.0,0.6242130931789117,0.0
malignant (164).png,0.0,0.0,1.0
malignant (21).png,0.0,,
malignant (194).png,0.0,0.5592113035258865,0.0
malignant (191).png,0.0,0.0,1.0
malignant (191).png,1.0,0.0,1.0
malignant (24).png,0.0,0.0651705078719843,0.0
malignant (162).png,0.0,0.0,0.6285757049539615
malignant (4).png,0.0,0.4572474631843134,0.0
malignant (81).png,,,
malignant (84).png,0.0,0.249572931679525,0.0
